level,rule,fold,classifier,feature_set,n_test_subjects,threshold,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
recording,fixed_0.5,3,LightGBM,B1_time,32,0.5,316,0.6528398341585155,0.5029585798816568,0.8027210884353742,0.6384622394119494,0.7195990822364449,0.7693304346597483,118,29,84,85
recording,selected,3,LightGBM,B1_time,32,0.665,316,0.6430584067946705,0.3609467455621302,0.9251700680272109,0.6009381201515425,0.7195990822364449,0.7693304346597483,136,11,108,61
participant,fixed_0.5,3,LightGBM,B1_time,32,0.5,32,0.5372549019607843,0.9411764705882353,0.13333333333333333,0.45893719806763283,0.8745098039215686,0.8951829091290502,2,13,1,16
participant,selected,3,LightGBM,B1_time,32,0.967,32,0.6431372549019608,0.35294117647058826,0.9333333333333333,0.6,0.8745098039215686,0.8951829091290502,14,1,11,6
recording,fixed_0.5,3,XGBoost,B1_time,32,0.5,316,0.6596425552469509,0.5029585798816568,0.8163265306122449,0.6443714450831889,0.7189147848488507,0.7740680066799819,120,27,84,85
recording,selected,3,XGBoost,B1_time,32,0.561,316,0.6466207784889104,0.44970414201183434,0.8435374149659864,0.6242414302115795,0.7189147848488507,0.7740680066799819,124,23,93,76
participant,fixed_0.5,3,XGBoost,B1_time,32,0.5,32,0.6,1.0,0.2,0.536231884057971,0.8823529411764706,0.8990443280927709,3,12,0,17
participant,selected,3,XGBoost,B1_time,32,0.957,32,0.6431372549019608,0.35294117647058826,0.9333333333333333,0.6,0.8823529411764706,0.8990443280927709,14,1,11,6
recording,fixed_0.5,3,LightGBM,B2_time_frequency,32,0.5,316,0.7105220786539468,0.5502958579881657,0.8707482993197279,0.6956332187648914,0.8016745159602301,0.8505940230440117,128,19,76,93
recording,selected,3,LightGBM,B2_time_frequency,32,0.47,316,0.709636517328825,0.5621301775147929,0.8571428571428571,0.696445725264169,0.8016745159602301,0.8505940230440117,126,21,74,95
participant,fixed_0.5,3,LightGBM,B2_time_frequency,32,0.5,32,0.6666666666666666,1.0,0.3333333333333333,0.6363636363636364,0.9568627450980393,0.9675391687775589,5,10,0,17
participant,selected,3,LightGBM,B2_time_frequency,32,0.968,32,0.8235294117647058,0.6470588235294118,1.0,0.8095238095238095,0.9568627450980393,0.9675391687775589,15,0,6,11
recording,fixed_0.5,3,XGBoost,B2_time_frequency,32,0.5,316,0.7134806585356035,0.5562130177514792,0.8707482993197279,0.699047619047619,0.7966429175220384,0.8468935206003669,128,19,75,94
recording,selected,3,XGBoost,B2_time_frequency,32,0.559,316,0.7034174616592199,0.5088757396449705,0.8979591836734694,0.6831594024964192,0.7966429175220384,0.8468935206003669,132,15,83,86
participant,fixed_0.5,3,XGBoost,B2_time_frequency,32,0.5,32,0.7,1.0,0.4,0.681063122923588,0.9686274509803923,0.9742905056759545,6,9,0,17
participant,selected,3,XGBoost,B2_time_frequency,32,0.962,32,0.8529411764705883,0.7058823529411765,1.0,0.8423645320197044,0.9686274509803923,0.9742905056759545,15,0,5,12
recording,fixed_0.5,4,LightGBM,B1_time,32,0.5,314,0.7001857480580884,0.7301587301587301,0.6702127659574468,0.69064039408867,0.7831813576494427,0.7783056388352924,126,62,34,92
recording,selected,4,LightGBM,B1_time,32,0.635,314,0.712386018237082,0.6428571428571429,0.7819148936170213,0.7134550084889644,0.7831813576494427,0.7783056388352924,147,41,45,81
participant,fixed_0.5,4,LightGBM,B1_time,32,0.5,32,0.5263157894736842,1.0,0.05263157894736842,0.34545454545454546,0.8947368421052632,0.9075990675990675,1,18,0,13
participant,selected,4,LightGBM,B1_time,32,0.939,32,0.8178137651821862,0.8461538461538461,0.7894736842105263,0.8095238095238095,0.8947368421052632,0.9075990675990675,15,4,2,11
recording,fixed_0.5,4,XGBoost,B1_time,32,0.5,314,0.677516041877744,0.753968253968254,0.601063829787234,0.6613073917290785,0.7808595069233367,0.7776324286440317,113,75,31,95
recording,selected,4,XGBoost,B1_time,32,0.652,314,0.7177051671732523,0.6428571428571429,0.7925531914893617,0.7193206487038692,0.7808595069233367,0.7776324286440317,149,39,45,81
participant,fixed_0.5,4,XGBoost,B1_time,32,0.5,32,0.5263157894736842,1.0,0.05263157894736842,0.34545454545454546,0.8947368421052632,0.9060490592998333,1,18,0,13
participant,selected,4,XGBoost,B1_time,32,0.886,32,0.7510121457489879,0.9230769230769231,0.5789473684210527,0.718475073313783,0.8947368421052632,0.9060490592998333,11,8,1,12
recording,fixed_0.5,4,LightGBM,B2_time_frequency,32,0.5,314,0.8090594393785884,0.7936507936507936,0.824468085106383,0.8061545866423916,0.8931526511313744,0.882607562827527,155,33,26,100
recording,selected,4,LightGBM,B2_time_frequency,32,0.624,314,0.8025582573454915,0.7380952380952381,0.8670212765957447,0.8056267076502732,0.8931526511313744,0.882607562827527,163,25,33,93
participant,fixed_0.5,4,LightGBM,B2_time_frequency,32,0.5,32,0.631578947368421,1.0,0.2631578947368421,0.5333333333333333,0.9757085020242916,0.972715318869165,5,14,0,13
participant,selected,4,LightGBM,B2_time_frequency,32,0.966,32,0.9352226720647774,0.9230769230769231,0.9473684210526315,0.9352226720647774,0.9757085020242916,0.972715318869165,18,1,1,12
recording,fixed_0.5,4,XGBoost,B2_time_frequency,32,0.5,314,0.8011229314420805,0.7777777777777778,0.824468085106383,0.7991127146108425,0.8878757176629517,0.8771132782626796,155,33,28,98
recording,selected,4,XGBoost,B2_time_frequency,32,0.484,314,0.8024316109422492,0.7857142857142857,0.8191489361702128,0.7995835556811166,0.8878757176629517,0.8771132782626796,154,34,27,99
participant,fixed_0.5,4,XGBoost,B2_time_frequency,32,0.5,32,0.6052631578947368,1.0,0.21052631578947367,0.4909862142099682,0.9878542510121457,0.9838264299802761,4,15,0,13
participant,selected,4,XGBoost,B2_time_frequency,32,0.959,32,0.8967611336032388,0.8461538461538461,0.9473684210526315,0.9015384615384616,0.9878542510121457,0.9838264299802761,18,1,2,11
recording,fixed_0.5,5,LightGBM,B1_time,32,0.5,312,0.7324786324786325,0.7264957264957265,0.7384615384615385,0.7241085411717076,0.782686828840675,0.747478058997103,144,51,32,85
recording,selected,5,LightGBM,B1_time,32,0.796,312,0.7076923076923077,0.46153846153846156,0.9538461538461539,0.7189189189189189,0.782686828840675,0.747478058997103,186,9,63,54
